market,tea_type,response_no,verbatim,theme,sentiment,persona
US,Other cold brew tea,1,The aftertaste puts me off,Taste / flavour,Neutral,Curious Explorer
US,Green tea (pure),2,Tastes medicinal and unpleasant,Taste / flavour,Negative,Price-Conscious Rejecter
US,"Benefit / functional tea (sleep, detox, immunity)",3,Just doesn't taste nice,Taste / flavour,Neutral,Traditional Drinker
US,Chamomile tea,4,I stick to what I know,Habit / preference,Positive,Convenience Buyer
CA,Decaffeinated black tea,5,Too watery for me,Texture / mouthfeel,Negative,Price-Conscious Rejecter
US,Cold brew green tea,6,I avoid caffeine for health reasons,Caffeine concerns,Negative,Curious Explorer
CA,English Breakfast / extra-strong black tea,7,Flavour is too earthy,Taste / flavour,Negative,Curious Explorer
CA,Green tea (pure),8,Not familiar with how to drink it,Unfamiliarity,Negative,Price-Conscious Rejecter
UK,Cold brew fruit and herbal tea,9,Not stocked where I shop,Availability,Negative,Curious Explorer
CA,Other tea (e.g. white tea),10,Not sure of the right water temperature,Brewing complexity,Neutral,Functional Benefit Seeker
US,Green tea flavoured (e.g. lemon),11,I wouldn't know where to start with it,Unfamiliarity,Negative,Curious Explorer
CA,Green tea flavoured (e.g. lemon),12,Too strong a flavour for my liking,Taste / flavour,Negative,Convenience Buyer
US,English Breakfast / extra-strong black tea,13,Takes too long to make,Brewing complexity,Negative,Traditional Drinker
US,Matcha tea,14,Just doesn't taste nice,Taste / flavour,Negative,Curious Explorer
US,Chamomile tea,15,The aftertaste puts me off,Taste / flavour,Negative,Wellness Seeker
UK,Chamomile tea,16,Not stocked where I shop,Availability,Negative,Functional Benefit Seeker
US,Cold brew fruit and herbal tea,17,Cheaper options do the same job,Price / value,Negative,Curious Explorer
US,Cold brew black tea,18,Not stocked where I shop,Availability,Negative,Convenience Buyer
CA,Peppermint tea,19,Not sure of the right water temperature,Brewing complexity,Positive,Price-Conscious Rejecter
US,Chamomile tea,20,It feels gritty,Texture / mouthfeel,Neutral,Functional Benefit Seeker
UK,Green tea decaffeinated,21,Premium pricing puts me off,Price / value,Neutral,Convenience Buyer
UK,English Breakfast / extra-strong black tea,22,Just doesn't taste nice,Taste / flavour,Positive,Traditional Drinker
UK,Cold brew green tea,23,Takes too long to make,Brewing complexity,Positive,Curious Explorer
CA,Chamomile tea,24,Flavour is too earthy,Taste / flavour,Negative,Price-Conscious Rejecter
CA,Regular / everyday black tea,25,I avoid caffeine for health reasons,Caffeine concerns,Positive,Convenience Buyer
UK,Other tea (e.g. white tea),26,Can't get it easily,Availability,Negative,Convenience Buyer
US,English Breakfast / extra-strong black tea,27,I find it bland and watery,Taste / flavour,Negative,Functional Benefit Seeker
CA,Other tea (e.g. white tea),28,Don't want to pay more for it,Price / value,Negative,Price-Conscious Rejecter
UK,Decaffeinated black tea,29,Too fiddly compared to a teabag,Brewing complexity,Negative,Traditional Drinker
US,Rooibos / red tea,30,I just prefer my usual tea,Habit / preference,Negative,Functional Benefit Seeker
US,Bubble tea,31,I find it bland and watery,Taste / flavour,Neutral,Curious Explorer
CA,Other cold brew tea,32,Not stocked where I shop,Availability,Neutral,Traditional Drinker
US,Green tea flavoured (e.g. lemon),33,It's too expensive for what it is,Price / value,Negative,Wellness Seeker
UK,Green tea (pure),34,It's too expensive for what it is,Price / value,Neutral,Traditional Drinker
UK,Matcha tea,35,Takes too long to make,Brewing complexity,Negative,Wellness Seeker
US,Regular / everyday black tea,36,Looking for healthier alternatives,Health perception,Negative,Wellness Seeker
US,Matcha tea,37,Too much caffeine for the evening,Caffeine concerns,Negative,Curious Explorer
UK,Other cold brew tea,38,I wouldn't know where to start with it,Unfamiliarity,Negative,Traditional Drinker
UK,Regular / everyday black tea,39,Not convinced by the health claims,Health perception,Negative,Traditional Drinker
CA,Decaffeinated black tea,40,Want something caffeine-free,Caffeine concerns,Negative,Price-Conscious Rejecter
US,English Breakfast / extra-strong black tea,41,Flavour is too earthy,Taste / flavour,Positive,Wellness Seeker
CA,English Breakfast / extra-strong black tea,42,Just doesn't taste nice,Taste / flavour,Negative,Convenience Buyer
UK,English Breakfast / extra-strong black tea,43,Not stocked where I shop,Availability,Negative,Wellness Seeker
US,Cold brew black tea,44,Rarely see it on the shelf,Availability,Neutral,Traditional Drinker
UK,Decaffeinated black tea,45,The aftertaste puts me off,Taste / flavour,Negative,Functional Benefit Seeker
UK,Cold brew fruit and herbal tea,46,Can't get it easily,Availability,Negative,Price-Conscious Rejecter
CA,Matcha tea,47,Caffeine keeps me awake at night,Caffeine concerns,Negative,Curious Explorer
US,Other herbal tea,48,The aftertaste puts me off,Taste / flavour,Negative,Functional Benefit Seeker
CA,Flavoured black tea (e.g. Earl Grey),49,Not part of my routine,Habit / preference,Negative,Wellness Seeker
CA,Flavoured black tea (e.g. Earl Grey),50,Premium pricing puts me off,Price / value,Positive,Functional Benefit Seeker
CA,Cold brew green tea,51,Je ne connais pas ce type de thé,Unfamiliarity,Negative,Curious Explorer
UK,Bubble tea,52,It feels gritty,Texture / mouthfeel,Negative,Curious Explorer
US,Instant tea powder,53,Don't want to pay more for it,Price / value,Negative,Price-Conscious Rejecter
CA,"Benefit / functional tea (sleep, detox, immunity)",54,I've never really tried it,Unfamiliarity,Negative,Curious Explorer
US,Lemon / ginger tea,55,Not familiar with how to drink it,Unfamiliarity,Negative,Curious Explorer
CA,"Origin black tea (e.g. Assam, Darjeeling)",56,Not part of my routine,Habit / preference,Negative,Traditional Drinker
CA,Lemon / ginger tea,57,Too fiddly compared to a teabag,Brewing complexity,Negative,Wellness Seeker
CA,Green tea decaffeinated,58,Tastes medicinal and unpleasant,Taste / flavour,Neutral,Functional Benefit Seeker
UK,"Benefit / functional tea (sleep, detox, immunity)",59,I avoid caffeine for health reasons,Caffeine concerns,Negative,Convenience Buyer
UK,Green tea (pure),60,Hard to find in my local shop,Availability,Negative,Functional Benefit Seeker
CA,Cold brew black tea,61,The taste is too bitter for me,Taste / flavour,Negative,Functional Benefit Seeker
US,Regular / everyday black tea,62,Too much caffeine for the evening,Caffeine concerns,Negative,Traditional Drinker
UK,Green tea decaffeinated,63,Caffeine keeps me awake at night,Caffeine concerns,Negative,Wellness Seeker
UK,Other tea (e.g. white tea),64,I find it bland and watery,Taste / flavour,Negative,Convenience Buyer
UK,Rooibos / red tea,65,Want something caffeine-free,Caffeine concerns,Negative,Functional Benefit Seeker
CA,Matcha tea,66,Already happy with my regular brew,Habit / preference,Negative,Traditional Drinker
CA,Cold brew green tea,67,I find it bland and watery,Taste / flavour,Neutral,Traditional Drinker
US,Green tea flavoured (e.g. lemon),68,Drinking hot tea is my habit,Habit / preference,Negative,Convenience Buyer
UK,Rooibos / red tea,69,I find it bland and watery,Taste / flavour,Negative,Traditional Drinker
US,Green tea (pure),70,I wouldn't know where to start with it,Unfamiliarity,Negative,Curious Explorer
CA,Cold brew black tea,71,Rarely see it on the shelf,Availability,Neutral,Functional Benefit Seeker
CA,Green tea decaffeinated,72,Not convinced by the health claims,Health perception,Negative,Wellness Seeker
CA,Regular / everyday black tea,73,Flavour is too earthy,Taste / flavour,Negative,Curious Explorer
CA,Cold brew black tea,74,Cheaper options do the same job,Price / value,Negative,Wellness Seeker
UK,Cold brew green tea,75,I drink it for wellness reasons,Health perception,Negative,Traditional Drinker
US,Cold brew fruit and herbal tea,76,Not familiar with how to drink it,Unfamiliarity,Negative,Convenience Buyer
US,Matcha tea,77,Not stocked where I shop,Availability,Neutral,Curious Explorer
US,Other tea (e.g. white tea),78,Never been introduced to it properly,Unfamiliarity,Negative,Price-Conscious Rejecter
US,Flavoured black tea (e.g. Earl Grey),79,The aftertaste puts me off,Taste / flavour,Negative,Curious Explorer
US,"Benefit / functional tea (sleep, detox, immunity)",80,Prefer options with proven benefits,Health perception,Neutral,Curious Explorer
US,Instant tea powder,81,I don't like the texture,Texture / mouthfeel,Negative,Price-Conscious Rejecter
CA,Bubble tea,82,Want something caffeine-free,Caffeine concerns,Negative,Wellness Seeker
US,Green tea flavoured (e.g. lemon),83,Want something caffeine-free,Caffeine concerns,Negative,Traditional Drinker
UK,Peppermint tea,84,Too fiddly compared to a teabag,Brewing complexity,Negative,Traditional Drinker
